,County FIPS,County Name,State,Population,"Weekly New Cases as of January 10, 2022","Weekly New Deaths as of January 10, 2022","Cases Moving Avg. December 7, 2021","Deaths Moving Avg. December 7, 2021","Cases Moving Avg. December 14, 2021","Deaths Moving Avg. December 14, 2021","Cases Moving Avg. December 21, 2021","Deaths Moving Avg. December 21, 2021","Cases Moving Avg. December 28, 2021","Deaths Moving Avg. December 28, 2021","Cases Moving Avg. January 4, 2022","Deaths Moving Avg. January 4, 2022","7-Day Daily Cases per 100,000 as of January 10, 2022","7-Day Daily Deaths per 100,000 as of January 10, 2022",% Unemployed,Median Household Income,Approximate Population Density,% African American,% Hispanic,% Asian American,% White American,% Native American or Alaska Native,% Native Hawaiian or Pacific Islander,% Adults With Degree 2015-19,"Mask Mandate Details as of January 11, 2022",Learn More,"% Fully Vaccinated as of January 12, 2022","% ≥ 12 Fully Vaccinated as of January 12, 2022","% ≥ 18 Fully Vaccinated as of January 12, 2022","% ≥ 65 Fully Vaccinated as of January 12, 2022","% At Least Partially Vaccinated as of January 12, 2022","% with Vaxx. and Booster as of January 12, 2022","% ≥ 18 with Vaxx. and Booster as of January 12, 2022","% ≥ 50 with Vaxx. and Booster as of January 12, 2022","% ≥ 65 with Vaxx. and Booster as of January 12, 2022"
0,1001,"Autauga County, AL",AL,55869,1011,2,11.0,0.26,18.92,0.26,30.94,0.26,55.74,0.0,258.51,0.51,258.51,0.51,2.7,58233.0,93.99,20.11,2.99,1.17,76.26,0.48,0.1,28.4,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,38.9,45.3,47.2,67.4,48.9,29.0,30.9,40.1,49.2
1,1003,"Baldwin County, AL",AL,223234,3672,10,6.78,0.13,12.8,0.06,26.94,0.06,62.01,0.0,234.99,0.64,234.99,0.64,2.7,59871.0,140.42,8.78,4.72,1.07,87.44,0.78,0.07,31.3,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,48.1,55.4,57.8,81.0,61.0,29.6,31.0,39.5,47.6
2,1005,"Barbour County, AL",AL,24686,445,2,4.63,0.58,5.21,0.0,9.84,0.0,68.29,0.0,257.52,1.16,257.52,1.16,3.8,35972.0,27.9,48.23,4.52,0.47,49.15,0.69,0.21,26.0,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,42.4,48.7,50.7,70.3,52.3,25.2,26.4,36.8,47.6
3,1007,"Bibb County, AL",AL,22394,406,0,9.57,0.0,13.4,0.0,16.59,0.0,68.26,0.0,259.0,0.0,259.0,0.0,3.1,47918.0,35.97,21.27,2.78,0.21,76.77,0.46,0.12,23.8,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,33.0,37.8,39.4,60.5,40.6,27.9,29.3,39.7,51.0
4,1009,"Blount County, AL",AL,57826,637,4,18.03,0.0,25.94,0.49,25.45,0.49,45.46,0.25,157.37,0.99,157.37,0.99,2.7,52902.0,89.68,1.69,9.65,0.32,95.83,0.64,0.12,34.0,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,29.9,35.0,37.0,52.9,36.2,28.0,29.3,38.9,48.1
5,1011,"Bullock County, AL",AL,10101,181,0,12.73,1.41,7.07,0.0,31.11,0.0,158.4,0.0,255.99,0.0,255.99,0.0,3.6,31906.0,16.22,70.26,8.55,0.21,26.62,0.83,0.76,22.3,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,48.2,55.6,56.7,77.3,60.1,26.1,27.8,39.0,48.8
6,1013,"Butler County, AL",AL,19448,408,0,16.16,0.73,19.1,0.0,19.83,0.0,68.31,0.0,299.7,0.0,299.7,0.0,3.6,39944.0,25.04,44.98,1.49,1.43,52.07,0.4,0.04,23.7,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,37.6,43.6,45.7,63.7,47.6,27.0,28.4,36.7,43.5
7,1015,"Calhoun County, AL",AL,113605,1537,3,8.68,0.25,13.2,0.38,18.36,0.63,57.22,0.25,193.28,0.38,193.28,0.38,3.5,47747.0,187.5,21.31,4.06,0.9,75.1,0.53,0.11,33.2,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,45.5,52.5,55.2,79.3,56.0,29.6,31.0,41.0,51.4
8,1017,"Chambers County, AL",AL,33254,788,0,9.88,0.43,15.47,0.86,42.96,0.86,86.78,0.0,338.52,0.0,338.52,0.0,2.9,42015.0,55.75,40.19,2.62,1.12,57.05,0.33,0.05,31.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,29.8,34.4,35.9,50.8,36.0,32.0,33.3,42.1,51.2
9,1019,"Cherokee County, AL",AL,26196,263,1,14.72,0.0,18.54,0.0,20.18,0.55,44.72,0.0,143.42,0.55,143.42,0.55,2.9,45982.0,47.31,4.1,1.71,0.39,93.18,0.69,0.03,28.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,30.3,34.4,36.3,53.4,37.4,31.6,32.5,39.7,46.3
